year,scenario,source,capacity_mw,capacity_added_mw,capacity_retired_mw,capacity_factor,energy_generated_mwh,annualized_capex,opex,total_cost,emissions_t
2044,toronto_natural_gas_to_solar,natural_gas,10734.115,284.531,0.0,0.55,51716965.749,393584214.23,2327263458.72,2720847672.95,23272634.587
2045,toronto_natural_gas_to_solar,battery,1007.783,73.07,46.356,0.15,1324226.447,40311307.37,10593811.58,50905118.94,0.0
2045,toronto_natural_gas_to_solar,solar,11026.394,292.279,0.0,0.22,21250065.744,396950169.56,255000788.93,651950958.49,425001.315
2045,toronto_natural_gas_to_solar,wind,9648.094,255.744,0.0,0.35,29581057.427,501700908.75,443715861.41,945416770.16,443715.861
2045,toronto_natural_gas_to_solar,natural_gas,11026.394,292.279,0.0,0.55,53125164.36,404301098.63,2390632396.18,2794933494.81,23906323.962
2046,toronto_natural_gas_to_solar,battery,1035.224,75.059,47.618,0.15,1360283.741,41408941.89,10882269.93,52291211.82,0.0
2046,toronto_natural_gas_to_solar,solar,11326.631,300.237,0.0,0.22,21828682.695,407758705.39,261944192.34,669702897.73,436573.654
2046,toronto_natural_gas_to_solar,wind,9910.802,262.707,0.0,0.35,30386518.524,515361697.09,455797777.87,971159474.95,455797.778
2046,toronto_natural_gas_to_solar,natural_gas,11326.631,300.237,0.0,0.55,54571706.738,415309792.52,2455726803.19,2871036595.72,24557268.032
2047,toronto_natural_gas_to_solar,battery,1063.412,77.103,48.915,0.15,1397322.837,42536463.85,11178582.7,53715046.55,0.0
2047,toronto_natural_gas_to_solar,solar,11635.043,308.412,0.0,0.22,22423054.778,418861546.28,269076657.33,687938203.61,448461.096
2047,toronto_natural_gas_to_solar,wind,10180.663,269.861,0.0,0.35,31213911.48,529394454.33,468208672.2,997603126.53,468208.672
2047,toronto_natural_gas_to_solar,natural_gas,11635.043,308.412,0.0,0.55,56057636.944,426618241.58,2522593662.48,2949211904.06,25225936.625
2048,toronto_natural_gas_to_solar,battery,1092.367,79.202,50.247,0.15,1435370.469,43694687.04,11482963.75,55177650.8,0.0
2048,toronto_natural_gas_to_solar,solar,11951.853,316.81,0.0,0.22,23033610.987,430266705.86,276403331.85,706670037.71,460672.22
2048,toronto_natural_gas_to_solar,wind,10457.871,277.209,0.0,0.35,32063833.476,543809308.8,480957502.15,1024766810.94,480957.502
2048,toronto_natural_gas_to_solar,natural_gas,11951.853,316.81,0.0,0.55,57584027.468,438234607.82,2591281236.05,3029515843.87,25912812.36
2049,toronto_natural_gas_to_solar,battery,1122.111,81.359,51.615,0.15,1474454.098,44884447.44,11795632.79,56680080.22,0.0
2049,toronto_natural_gas_to_solar,solar,12277.289,325.436,0.0,0.22,23660792.0,441982415.95,283929504.0,725911919.95,473215.84
2049,toronto_natural_gas_to_solar,wind,10742.628,284.757,0.0,0.35,32936897.955,558616664.6,494053469.33,1052670133.93,494053.469
2049,toronto_natural_gas_to_solar,natural_gas,12277.289,325.436,0.0,0.55,59151980.001,450167275.5,2661839100.04,3112006375.54,26618391.0
2050,toronto_natural_gas_to_solar,battery,2070.066,1000.975,53.021,0.15,2720066.4,82802630.14,21760531.2,104563161.35,0.0
2050,toronto_natural_gas_to_solar,solar,10165.185,4003.9,6116.004,0.22,19590345.023,365946669.17,235084140.27,601030809.44,391806.9
2050,toronto_natural_gas_to_solar,wind,8894.537,3503.413,5351.504,0.35,27270650.742,462515929.09,409059761.13,871575690.22,409059.761
2050,toronto_natural_gas_to_solar,natural_gas,16281.19,4003.9,0.0,0.55,78442771.747,596976953.94,3529924728.63,4126901682.57,35299247.286
